id,tenantDivisionId,roleId,email,firstName,lastName,password,phone,address,gender,birthday,profileImageUrl,refreshToken,permissions,userRole,createdAt,updatedAt
1,1,1,admin1@system.com,Ahmad,Al-Mansoori,$2b$10$admin1hashedpassword,"+971501111111","Al Nahda, Sharjah","Male","1980-01-15","https://example.com/avatars/admin1.jpg","admin_refresh_001","[""admin:full""]","admin","2025-01-01T08:00:00Z","2025-11-11T13:37:00Z"
2,1,1,admin2@system.com,Fatima,Al-Maktoum,$2b$10$admin2hashedpassword,"+971502222222","Al Qasba, Sharjah","Female","1982-06-22","https://example.com/avatars/admin2.jpg","admin_refresh_002","[""admin:full""]","admin","2025-01-01T09:00:00Z","2025-11-11T13:37:00Z"
3,2,2,tadmin1@tenant.com,Mohammed,Al-Hashimi,$2b$10$tadmin1hashedpassword,"+971503333333","Al Majaz, Sharjah","Male","1978-03-10","https://example.com/avatars/tadmin1.jpg","tadmin_refresh_001","[""tenant:manage""]","tadmin","2025-01-05T10:00:00Z","2025-11-11T13:37:00Z"
4,3,2,tadmin2@tenant.com,Aisha,Al-Qasimi,$2b$10$tadmin2hashedpassword,"+971504444444","Al Taawun, Sharjah","Female","1981-09-18","https://example.com/avatars/tadmin2.jpg","tadmin_refresh_002","[""tenant:manage""]","tadmin","2025-01-06T11:00:00Z","2025-11-11T13:37:00Z"
5,5,2,tadmin3@tenant.com,Khalid,Al-Nuaimi,$2b$10$tadmin3hashedpassword,"+971505555555","University City, Sharjah","Male","1979-12-05","https://example.com/avatars/tadmin3.jpg","tadmin_refresh_003","[""tenant:manage""]","tadmin","2025-01-07T12:00:00Z","2025-11-11T13:37:00Z"
6,7,2,tadmin4@tenant.com,Latifa,Al-Falasi,$2b$10$tadmin4hashedpassword,"+971506666666","Al Khan, Sharjah","Female","1983-04-27","https://example.com/avatars/tadmin4.jpg","tadmin_refresh_004","[""tenant:manage""]","tadmin","2025-01-08T13:00:00Z","2025-11-11T13:37:00Z"
7,11,2,tadmin5@tenant.com,Saeed,Al-Ghafli,$2b$10$tadmin5hashedpassword,"+971507777777","Al Qasimia, Sharjah","Male","1980-07-14","https://example.com/avatars/tadmin5.jpg","tadmin_refresh_005","[""tenant:manage""]","tadmin","2025-01-09T14:00:00Z","2025-11-11T13:37:00Z"
8,14,2,tadmin6@tenant.com,Mariam,Al-Mazrouei,$2b$10$tadmin6hashedpassword,"+971508888888","Al Mujaz, Sharjah","Female","1984-11-30","https://example.com/avatars/tadmin6.jpg","tadmin_refresh_006","[""tenant:manage""]","tadmin","2025-01-10T15:00:00Z","2025-11-11T13:37:00Z"
9,18,2,tadmin7@tenant.com,Omar,Al-Raisi,$2b$10$tadmin7hashedpassword,"+971509999999","Al Yarmook, Sharjah","Male","1977-02-20","https://example.com/avatars/tadmin7.jpg","tadmin_refresh_007","[""tenant:manage""]","tadmin","2025-01-11T16:00:00Z","2025-11-11T13:37:00Z"
10,22,2,tadmin8@tenant.com,Hessa,Al-Dhaheri,$2b$10$tadmin8hashedpassword,"+971501010101","Al Fisht, Sharjah","Female","1985-05-08","https://example.com/avatars/tadmin8.jpg","tadmin_refresh_008","[""tenant:manage""]","tadmin","2025-01-12T17:00:00Z","2025-11-11T13:37:00Z"
